community_name,district,established_year,master_developer,occupancy_rate,off_plan_percentage
Downtown Dubai,Central,2009,Emaar,0.92,0.15
Dubai Marina,Marina,2006,Various,0.89,0.1
Palm Jumeirah,Palm,2006,Nakheel,0.88,0.2
Dubai Hills Estate,Dubai Hills,2016,Emaar,0.88,0.4
JVC (Jumeirah Village Circle),JVC,2013,Nakheel,0.85,0.3
Business Bay,Central,2012,Various,0.87,0.25
Arabian Ranches,Suburban,2004,Emaar,0.9,0.05
Sports City,Sports,2006,Union Properties,0.84,0.1
Discovery Gardens,Discovery,2006,Nakheel,0.86,0.0
JLT (Jumeirah Lake Towers),JLT,2008,DMCC,0.86,0.05
The Springs,Suburban,2001,Emaar,0.91,0.0
Al Barsha,Al Barsha,2005,Various,0.87,0.08
Deira,Deira,2000,Various,0.88,0.05
Bur Dubai,Bur Dubai,2002,Various,0.87,0.05
International City,International City,2006,Nakheel,0.83,0.0
Dubai Silicon Oasis,DSO,2009,Various,0.82,0.15
Tilal Al Ghaf,Tilal Al Ghaf,2019,Meraas,0.8,0.55
DAMAC Hills 2,DAMAC Hills,2018,DAMAC,0.78,0.45
Dubai Creek Harbour,Creek Harbour,2017,Emaar,0.85,0.35
Bluewaters Island,Bluewaters,2018,Meraas,0.87,0.05
Meydan,Meydan,2015,Meydan,0.83,0.35
Al Furjan,Al Furjan,2015,Nakheel,0.85,0.2
Dubai South,Dubai South,2015,Dubai South,0.78,0.5
Town Square,Town Square,2016,Nshama,0.82,0.25
