community_name,existing_stock_units,units_under_construction,units_completed_last_12_months,units_expected_next_24_months,pipeline_pct_of_stock,supply_risk
Downtown Dubai,2857,593,252,371,13.0,medium
Dubai Marina,3548,573,229,401,11.3,medium
Palm Jumeirah,12757,3098,1074,2045,16.0,high
Dubai Hills Estate,3335,555,142,410,12.3,medium
JVC (Jumeirah Village Circle),12748,2418,832,2026,15.9,high
Business Bay,3388,379,216,347,10.2,medium
Arabian Ranches,4093,753,428,674,16.5,high
Sports City,13229,3075,508,2669,20.2,high
Discovery Gardens,10331,1264,647,849,8.2,medium
JLT (Jumeirah Lake Towers),5509,651,545,440,8.0,low
The Springs,4253,344,240,314,7.4,low
Al Barsha,10317,2106,1084,2008,19.5,high
Deira,2618,477,285,404,15.4,high
Bur Dubai,11785,1477,525,1377,11.7,medium
International City,14633,2560,1627,2274,15.5,high
Dubai Silicon Oasis,2715,358,246,248,9.1,medium
Tilal Al Ghaf,9277,1596,906,1457,15.7,high
DAMAC Hills 2,5833,914,337,844,14.5,medium
Dubai Creek Harbour,9684,2235,459,1947,20.1,high
Bluewaters Island,11345,2800,811,1995,17.6,high
Meydan,8256,1243,558,826,10.0,medium
Al Furjan,5271,1108,223,775,14.7,medium
Dubai South,12505,1827,792,1778,14.2,medium
Town Square,13655,2992,1455,2136,15.6,high
