transaction_id,community,property_type,bedrooms,price_aed,size_sqft,transaction_date,roi_pct,developer,handover_status,floor_level,view_type,service_charge_aed_sqft,parking_spots,completion_year,furnishing,amenities
TRX-001,Downtown Dubai,Apartment,1,2850000,2740,2024-09-14,5.9,Emaar,Ready,48,community,24.5,1,2010,furnished,"bbq,concierge,gym,kids_play,pool"
TRX-002,Downtown Dubai,Apartment,2,7100000,620,2024-12-15,6.7,Emaar,Ready,56,burj_khalifa,23.1,1,2015,semi,"bbq,concierge,gym,pool,retail,spa"
TRX-003,Dubai Marina,Apartment,1,2350000,1890,2024-06-06,7.1,Select Group,Ready,42,road,18.0,1,2008,furnished,"concierge,gym,kids_play,pool"
TRX-004,Dubai Marina,Apartment,2,2700000,1630,2024-04-27,7.8,Emaar,Ready,7,community,15.9,2,2011,unfurnished,"bbq,beach_access,concierge,gym,kids_play"
TRX-005,Palm Jumeirah,Apartment,0,13950000,1610,2024-07-12,5.4,Nakheel,Ready,4,atlantis,25.9,3,2020,furnished,"concierge,gym,private_beach,spa,valet"
TRX-006,Palm Jumeirah,Apartment,3,9100000,2090,2024-05-25,5.5,Nakheel,Ready,1,community,22.3,1,2019,unfurnished,"concierge,gym,kids_play,pool,private_beach,spa,valet"
TRX-007,Palm Jumeirah,Apartment,0,8200000,1640,2024-09-01,5.6,Nakheel,Ready,12,sea,27.5,1,2009,semi,"concierge,gym,kids_play,pool,spa,valet"
TRX-008,Palm Jumeirah,Apartment,1,4350000,3860,2024-07-07,4.9,Nakheel,Ready,5,sea,23.6,2,2008,furnished,"concierge,gym,kids_play,pool,private_beach,spa,valet"
TRX-009,Dubai Hills Estate,Apartment,1,2700000,1090,2024-02-02,7.4,Emaar,Off-Plan,18,community,14.0,1,2018,unfurnished,"bbq,gym,pool,retail"
TRX-010,Dubai Hills Estate,Apartment,0,1600000,580,2024-12-02,7.1,Emaar,Ready,6,park,19.1,1,2021,semi,"bbq,gym,kids_play,park,pool,retail"
TRX-011,Dubai Hills Estate,Apartment,3,1250000,1130,2024-09-04,7.1,Emaar,Ready,12,road,12.9,1,2025,furnished,"bbq,gym,kids_play,pool"
TRX-012,JVC (Jumeirah Village Circle),Apartment,1,400000,400,2024-08-10,10.0,Nakheel,Off-Plan,8,community,11.4,1,2021,semi,"bbq,pool"
TRX-013,JVC (Jumeirah Village Circle),Apartment,3,1400000,660,2024-09-06,8.1,Nakheel,Ready,16,community,10.1,2,2024,unfurnished,"kids_play,pool"
TRX-014,Business Bay,Apartment,0,1100000,500,2024-04-09,6.8,Binghatti,Ready,20,burj_khalifa,21.5,1,2023,unfurnished,"bbq,concierge,gym,pool,retail"
TRX-015,Business Bay,Apartment,2,1600000,1140,2024-04-12,7.7,Omniyat,Ready,9,canal,19.0,1,2015,furnished,"concierge,pool,retail"
TRX-016,Arabian Ranches,Villa,4,4450000,5450,2024-10-07,5.8,Emaar,Ready,3,community,15.3,2,2007,semi,"kids_play,park,pool,retail"
TRX-017,Arabian Ranches,Villa,3,6050000,3070,2024-08-18,6.5,Emaar,Ready,2,community,17.3,1,2017,semi,"gym,kids_play,park,pool"
TRX-018,Arabian Ranches,Villa,4,3550000,5320,2024-04-22,6.3,Emaar,Ready,3,desert,14.4,3,2022,unfurnished,"gym,kids_play,park,pool,retail"
